,Name,Rate,Reviews_num,Type,Review,By,Lat,Lng,Hotness
366,A Classic Carriage Hire,4.6,28,City Tours • Sightseeing Tours,Took my family on a ride when they came visit from China and they enjoyed it very much.,By biancas186,-37.8185001,144.9681154,128.8
367,Playtime Crown,4.4,29,Game & Entertainment Centres,"What an awesome idea, $25 per child and you get 2 hours supervised 'Playtime' fun, while parents can go shop, have a...",By Ihiraneaj,-37.8235301,144.9580953,127.6
368,Melbourne Supper Club,4.4,29,Bars & Clubs,,,-37.8109568,144.9724344,127.6
369,The Duke,4.1,31,Bars & Clubs,,,-37.8165307,144.9700544,127.1
370,Southbank,4.5,28,Scenic Walking Areas,,,-37.829,144.957,126
371,Explore Australia Tours,5,25,Beer Tastings & Tours • Food Tours,,,-37.8166724,144.9533437,125
372,The Conservatory,4.3,29,Parks • Gardens,,,-37.8220745,144.9596268,124.7
373,Melbourne City Marina,4.6,27,Marinas,"We find the marina very secure and the services provided by the MCM are clean, convenient and welcoming.",By Wanton110,-37.8155883,144.938933,124.2
374,Melbourne General Cemetery,4.4,28,Historic Sites • Cemeteries,They include European pioneer graves back to 1870 or so and some famous Victorians from later periods.,By platypus150,-37.7916965,144.9618751,123.2
375,Ferdydurke,4.4,28,Bars & Clubs,,,-37.811582,144.965359,123.2
376,Melbourne Tours 101,4.9,25,"Cultural Tours • Literary, Art & Music Tours",101 tour was a good way to get to know the city.,By 181angelai,-37.8177449,144.9670057,122.5
377,The Orchard Prahran,4.7,26,Yoga & Pilates • Spas,I frequently use the Infrared sauna and float pods.,By herandherdog,-37.8465499,144.9931498,122.2
378,Botanica Wellness Spa and Clinic,4.7,26,Spas,,,-37.8187217,144.9578857,122.2
379,Katuk,4.5,27,Bars & Clubs,,,-37.8421694,144.9949306,121.5
380,Kokoda Historical,5,24,Multi-day Tours,Kokoda Track Trek,By ade5611,-37.8337352,145.0562756,120
381,St,4.6,26,Shopping Malls,,,-37.817029,144.967687,119.6
382,Cathedral Arcade,4.4,27,Points of Interest & Landmarks,I love the tiny coffee shop and tge view out the Swanston Street door to tge Cathedral.,By platypus150,-37.8167028,144.9666896,118.8
383,Hardrock Climbing,4.4,27,Game & Entertainment Centres,,,-37.8071108,144.9624975,118.8
384,Zoobus,4.9,24,Eco Tours • Sightseeing Tours,,,-37.8172746,144.9702271,117.6
385,Sensu Spa,4.9,24,Spas,It was the perfect addition to a weekend stay in the city.,By laurelj,-37.815149,144.956527,117.6
386,Urban Quest Real Life Games,4.9,24,Escape Games • Scavenger Hunts,,,-37.8105957,144.9627717,117.6
387,Melbourne Laneways,4.3,27,Neighbourhoods,Loved wandering around the Melbourne laneways with my hubby in search of all the wonderful creations of street art.,By SuzieLock,-37.816657,144.966831,116.1
388,Dreaming Since,3.2,36,Surfing & Windsurfing,,,-37.818043,144.964682,115.2
389,Club Retro,3.8,30,Dance Clubs & Discos,,,-37.812773,144.96118,114
390,Sandridge Beach,4.4,25,Beaches,,,-37.8401129,144.9163672,110
391,Your Exclusive Tours,5,22,City Tours • Distillery Tours,... to Rob at Your Exclusive Tours who cultivated one of my favorite days exploring the vineyards in the Yarra Valley. ,By mbwdvm,-37.8429346,145.2609026,110
392,Moonee Valley Racecourse,4.2,26,Horse Tracks,"The honour role of champion thoroughbreds to win the Cox Plate includes the great Winx, unbeaten over any distance.",By 619jeffry,-37.7663833,144.9282865,109.2
393,AFL Grand Final,4.7,23,Sporting Events,,,-37.8199669,144.9834493,108.1
394,Grainger Museum,4.5,24,Speciality Museums,,,-37.7972836,144.9583598,108
395,Norbu Urban Retreat,4,27,Spas,,,-37.8379483,144.9955647,108
396,Wesley Church Melbourne,4.3,25,Churches & Cathedrals,,,-37.8102255,144.968267,107.5
397,Tour Local,4.3,25,Taxis & Shuttles • Private Tours,,,-37.8170124,144.970065,107.5
398,Model Tudor Village,4.4,24,Points of Interest & Landmarks,one of many attractions at fitzroy gardens,By ET3121,-37.813251,144.981001,105.6
399,Walk This Way Melbourne,5,21,Walking Tours,,,-37.817566,144.968124,105
400,Cricket: Boxing Day Test,4.7,22,Sporting Events,,,-37.8199669,144.9834493,103.4
401,Melbourne's GPO - Shopping Centre,4.3,24,Shopping Malls,,,-37.8135391,144.9632758,103.2
402,Melbourne City Card,4.3,24,Multi-day Tours • Hop-On Hop-Off Tours,,,-37.8156125,144.9640441,103.2
403,Footscray Market,4.1,25,Farmers Markets,Footscray Market has many fruits vegetables you would have trouble finding elsewhere.,By 619jeffry,-37.8011239,144.9016699,102.5
404,Melbourne Park,4.6,22,Arenas & Stadiums,"This venue is a wonderful sports complex which includes the tennis centre with its 20-something tennis courts, and th...",By wendhmagz,-37.82267,144.98005,101.2
405,Great Petition Sculpture,4.8,21,Monuments & Statues,,,-37.8114826,144.9750904,100.8
406,Yarra Valley Limo Wine Tours,4.8,21,Wine Tours & Tastings ,Rob was a great driver with great knowledge.,By PJCaruso,-37.8145587,144.9705197,100.8
407,Minotaur Entertainment Melbourne,4.5,22,Speciality & Gift Shops,This is a huge complex with all things geeky or pop-culture reference-y.,By mielsharf,-37.8154335,144.9634094,99
408,Mission to Seafarers,4.6,21,Historic Sites • Points of Interest & Landmarks,,,-37.8224768,144.9511755,96.6
409,Urban Scrawl Tours,5,19,Walking Tours,,,-37.8190716,144.955763,95
410,Venice on the Yarra,5,19,Boat Tours,,,-37.8238103,144.9549331,95
411,Colonial Brewing Co,4.5,21,Breweries,,,-37.8285702,144.9370538,94.5
412,Melbourne Walkabout,4.7,20,Walking Tours,,,-37.8353208,144.92034,94
413,Nicholas Building,4.4,21,Architectural Buildings,,,-37.8167088,144.9667771,92.4
414,Royal Park Nature Play Playground,4.8,19,Parks • Playgrounds,"Would recommend a hat, sunscreen and sunnies for the Mums and Dads as shade is limited especially within eyesight of...",By Adrianpowell00,-37.7952443,144.9516008,91.2
415,Melbourne Murder Tours,5,18,Ghost & Vampire Tours • Walking Tours,,,-37.8093211,144.9696496,90
416,Auscarts Indoor Racing,4.5,20,Adrenaline & Extreme Tours,"The staff were nothing but pleasent to my kids, paying particular attention to their safety whilst being out on track...",By KristieClarke,-37.832341,144.9247386,90
417,Blue Diamond,5,18,Bars & Clubs,,,-37.818426,144.8109529,90
418,Library at the Dock,4.7,19,Libraries,,,-37.8199889,144.9407806,89.3
419,Starward Distillery,4.7,19,Distillery Tours • Private Tours,"We had a tour which included a welcome drink which was really tasty, followed by a long chat re: the process of the w...",By A286EYdanb,-37.8295748,144.9388541,89.3
420,Cavalia,4.7,19,Theatre & Performances,,,34.2108393,-118.9961706,89.3
421,56 Bricks,4.4,20,Bars & Clubs,,,-37.855812,144.992914,88
422,Stable Massage,4.8,18,Spas,,,-37.8601789,144.984983,86.4
423,Australian Treasure Walks - Melbourne Lanes and Arcades,4.3,20,Points of Interest & Landmarks,,,-37.816657,144.966831,86
424,Secret Food Tours Melbourne,4.3,20,City Tours • Sightseeing Tours,,,-37.816657,144.966831,86
425,Misty,4.5,19,Bars & Clubs • Dance Clubs & Discos,,,-37.816509,144.969018,85.5
426,Outer Circle Rail Trail,4,21,Biking Trails • Hiking Trails,"This is next to the Alamein Railway Line, which is a remnant of the original Outer Circle Railway Line.",By platypus150,-37.8321721,145.0710051,84
427,Windsor Railway Station,4,21,Architectural Buildings,,,-37.8560074,144.9917594,84
428,Doutta Galla Hotel,4.2,20,Bars & Clubs,,,-37.7883826,144.9297426,84
429,K Box,4.2,20,Karaoke Bars,,,-37.808277,144.967257,84
430,Webb Bridge,4.4,19,Bridges,,,-37.823352,144.9473047,83.6
431,The Den,4.4,19,Bars & Clubs,,,-37.8135529,144.9688765,83.6
432,Melbourne Food and Wine Festival,3.8,22,Food & Drink Festivals,,,-37.8209595,144.949929,83.6
433,Champainting by Cork and Canvas,4.9,17,Paint & Pottery Studios • Lessons & Workshops,The instructor is there all the way and it's such a great way to get or work friends together and do something differ...,By jom413,-37.8310137,144.9593879,83.3
434,Melbourne Adventure Hub,4.9,17,Other Outdoor Activities,,,-37.7980641,145.3294889,83.3
435,Target Centre Melbourne,3.6,23,Shopping Malls,This is now 222 Bourke Street but when Coles was 236 Bourke Street.,By petermY2777LY,-37.81306,144.96655,82.8
436,German Lutheran Trinity Church,4.6,18,Architectural Buildings • Churches & Cathedrals,,,-37.8112174,144.9756441,82.8
437,Pinball Paradise,4.6,18,Game & Entertainment Centres,,,-37.8096905,144.9578389,82.8
438,Rex Melbourne Tours,1.4,59,City Tours • Cultural Tours,,,-37.6733966,144.848495,82.6
439,Escape Or Die,5,16,Escape Games,Amazing story-driven escape room with unique puzzles and serious tension,By yourmatecal,-37.7772898,144.9705182,80
440,Air Adventure Australia,5,16,Air Tours,"It was a great trip, the guide, Elise and pilot, Jonathon were excellent, charming and very competent.",By 465kerryr,-38.2681667,144.5233052,80
441,Melbourne City Baths,4,20,Health Clubs • Spas,,,-37.807097,144.963165,80
442,The Bridge Hotel,4.2,19,Bars & Clubs,,,-37.820209,145.013416,79.8
443,Flemington Racecourse Market,4.4,18,Flea & Street Markets,,,-37.79097,144.911891,79.2
444,Melbourne Chinese New Year,4.4,18,Cultural Events,"Melbourne has several locations to celebrate New Year; Chinatown, Federation Square and Southbank.",By 619je,-37.810875,144.9711191,79.2
445,Art Aficionado Tours- Day Tours,4.4,18,Walking Tours,,,-37.8173751,144.9669917,79.2
446,The Clyde Hotel,4.4,18,Bars & Clubs,,,-37.7971458,144.9658632,79.2
447,Hughes Limousines,4.9,16,Taxis & Shuttles,,,-37.7931819,144.9764547,78.4
448,TunzaFun Harbour Town Docklands,3.4,23,Game & Entertainment Centres,,,-37.8128109,144.9373233,78.2
449,Salvation Army Heritage Centre,4.6,17,Speciality Museums,,,-37.8120806,144.9714159,78.2
450,ISKCON Melbourne (Hare Krishna Temple),4.8,16,Religious Sites,,,-37.8482196,144.9540125,76.8
451,Melbourne Watch Company,4.8,16,Speciality & Gift Shops,,,-37.8061423,144.9631628,76.8
452,Urban Penguin Tours,4.2,18,City Tours,,,-37.814725,144.9659023,75.6
453,Water Tower Clock,5,15,Points of Interest & Landmarks,,,-37.8190104,144.9538188,75
454,Victorian Bus Charters,5,15,Taxis & Shuttles • Beer Tastings & Tours,Great wineries too!,By sarahswans,-37.8658587,145.0144824,75
455,Australian Coastal & Mountain Tours,5,15,Nature & Wildlife Tours • Day Trips,,,-27.2002042,153.1146251,75
456,Prince Alfred Hotel,4.4,17,Bars & Clubs,,,-37.8354314,144.9449764,74.8
457,Docklands,3.5,21,Parks,,,-37.8190118,144.9465764,73.5
458,St James' Old Cathedral,4.3,17,Churches & Cathedrals,,,-37.8101621,144.9521351,73.1
459,Golden Mile Heritage Trail,4.3,17,Points of Interest & Landmarks,,,-37.816657,144.966831,73.1
460,Supreme Court of Victoria,3.8,19,Points of Interest & Landmarks • Architectural Buildings,,,-37.8140862,144.9580136,72.2
461,Max Therapy,3.8,19,Spas,,,-37.8127838,144.9660902,72.2
462,Poyntons Nursery and Garden Centre,4.5,16,Gardens,"... for local people, who can enjoy a meal with a wide selections of wines as they look out over the Maribyrnong River.",By 619jeffry,-37.7642579,144.8968836,72
463,RMIT University Building 8,4.5,16,Architectural Buildings,,,-37.8084477,144.9638256,72
464,Ambiance Gifts,4.8,15,Speciality & Gift Shops,,,-37.8069823,144.9596185,72
465,Bev & Mick's Backpackers Melbourne,4.5,16,Bars & Clubs,,,35.6583189,139.7022323,72
466,Lustre Bar,4.2,17,Wine Bars,,,-37.8167886,144.9656704,71.4
467,Buxton Contemporary,4.4,16,Art Galleries • Art Museums,Contemporary art has supplanted modernism as the language of artistic creation.,By 619jeffry,-37.823884,144.9687454,70.4
468,Swanston Street Sunday Market,4.4,16,Flea & Street Markets,,,-37.8207427,144.9685662,70.4
469,Original & Authentic Aboriginal Art,4.1,17,Art Galleries,"The Curator, Alexis Hesseen is beyond knowledgeable and passionate about the many pieces in the Gallery!",By noeld579,35.6910831,139.7009735,69.7
470,Advanced Skin & Beauty Clinic,3.3,21,Spas,,,35.670493,139.765622,69.3
471,Fitzroy Gardens Visitor Centre,4.6,15,Visitor Centres,,,-37.8148804,144.9792694,69
472,Great Ocean Road and Beyond,4.6,15,Multi-day Tours • Cultural Tours,He showed us all the hi lights of the Great Ocean Road such as the very moving war memorial dedicated to the soldiers...,By Mikegroves270154,-37.8185746,144.9627257,69
473,Melbourne New Year's Eve,3.6,19,Cultural Events,Just get there a bit early so you can find a spot by the Yarra river with good views on the Eureka tower and the cbd...,By excess5,-37.8155453,144.9403885,68.4
474,Gordon Reserve,4,17,Points of Interest & Landmarks • Monuments & Statues,,,-37.8125666,144.9740049,68
475,Archie Brothers Cirque Electriq Docklands,4.5,15,Bowling Alleys • Bars & Clubs,Really good value for money and huge fun! Top notch stuff.,By Ruralrosie,-37.8121324,144.9365836,67.5
476,Prudence,4.5,15,Bars & Clubs,,,-37.80553,144.9540668,67.5
477,Cow Up a Tree Sculpture,4.2,16,Monuments & Statues,The Melbourne City Council has done its best to liven up this dull corner of Docklands by installing parks and such t...,By 619jeffry,-37.8171187,144.9452737,67.2
478,Marrakech Bar - Nightclub,3.7,18,Bars & Clubs,,,-37.816404,144.960196,66.6
479,Newport Lakes Parkland,4.7,14,Bodies of Water • Parks,,,-37.838006,144.8728768,65.8
480,Books for Cooks,4.7,14,Speciality & Gift Shops • Antique Shops,,,-37.8062211,144.9574802,65.8
481,Henry Bolte Memorial,5,13,Points of Interest & Landmarks,,,-37.8133379,144.9751663,65
482,Melbourne Tramboat Scenic Cruises,3.8,17,Boat Tours,,,-37.8163531,144.9395517,64.6
483,Westside Ale Works,4.9,13,Bars & Clubs,,,-37.83206,144.949474,63.7
484,Simulator World,4.5,14,Game & Entertainment Centres,,,-37.8103778,144.9656778,63
485,James Squire Hotel,4.2,15,Bars & Clubs,,,-37.813709,144.968264,63
486,Basement Discs,4.2,15,Speciality & Gift Shops,,,-37.8158809,144.9644733,63
487,Brighton Pier,4.4,14,Piers & Boardwalks,,,-37.906835,144.9808412,61.6
488,Penguin Island Tours,4.4,14,Sightseeing Tours • Nature & Wildlife Tours,Big Ben must be one of the best guide we’ve ever met!,By WTV3,-37.8185746,144.9627257,61.6
489,Little Lon Distilling Co.,4.7,13,Historic Sites • Historic Walking Areas,"With a G & T to start, tasting of each of the gins that Little Lon produces and a cocktail to finish - this is an exp...",By jollytr,-37.8088632,144.9710149,61.1
490,Kirra Galleries,4.7,13,Points of Interest & Landmarks,,,-37.8175002,144.9688902,61.1
491,Sansiri Thai Massage and Spa,4.7,13,Spas,Amazing Massage,By ashoks007,-37.8410919,144.9397637,61.1
492,Whack It On The Barbie,4.3,14,Cooking Classes,,,-37.8069048,144.9588084,60.2
493,AllTrails Bicycle Tours,5,12,Multi-day Tours • Bike Tours,"They were also good company, as were the rest of our small group.",By alph_gal,-37.8900217,145.1432657,60
494,Melbourne Wine Courses,5,12,Lessons & Workshops • Wine Tours & Tastings ,Attended the General Wine Appreciation course as I am a beginner and so was my friend.,By ellil2018,-37.8074954,144.9926381,60
495,South Melbourne Town Hall,4.6,13,Architectural Buildings,,,-37.8341181,144.9604897,59.8
496,Australian Music Vault,4.5,13,Speciality Museums,Small but really well done museum on the Australian Music Scene... Lots of artifacts and interaction.,By Gymstar,-37.8202,144.9678952,58.5
497,Melbourne Arena,4.5,13,Arenas & Stadiums,,,-37.8228398,144.9818685,58.5
498,Yarra Park,4.5,13,Parks,"Just enjoy the nature <3 There was very lovely and organized event on the New Year Eve! Plus, next to MCG.",By Bajjour,-37.8197592,144.98661,58.5
499,East Coast Car Rentals,3.2,18,Taxis & Shuttles,,,-37.8101911,144.9566043,57.6
500,St Mary Star of the Sea,4.8,12,Points of Interest & Landmarks,,,-37.8059727,144.9528687,57.6
501,East Melbourne Synagogue,4.8,12,Religious Sites,,,-37.8092033,144.9744139,57.6
502,Williamstown Craft Market,4.4,13,Flea & Street Markets,,,-37.8648695,144.901099,57.2
503,Fo Guang Yuan Art Gallery,4.3,13,Art Galleries,,,-37.8154808,144.9606219,55.9
504,New Gold Mountain,4.3,13,Bars & Clubs,,,-37.8111831,144.9712723,55.9
505,The Aviary,4.3,13,Bars & Clubs,,,-37.8096675,144.9935587,55.9
506,Luxe Therapy,4.3,13,Spas,I had a flotation and relaxation massage today.,By Weifma,-37.8107179,144.9627909,55.9
507,Trin Warren Tam-boore,4.6,12,Nature & Wildlife Areas,,,-37.7824046,144.9432707,55.2
508,Move On Tours,5,11,Distillery Tours • Beer Tastings & Tours,,,-37.825955,144.9380705,55
509,Luxury Transfers Melbourne,5,11,Taxis & Shuttles • Private Tours,,,-37.8058211,144.9959772,55
510,Tastes of Melbourne Tours,5,11,City Tours • Cultural Tours,,,-37.8110732,144.9647043,55
511,Collins Street Baptist Church,4.2,13,Churches & Cathedrals,A beautiful building.,By tweetyf2017,-37.8148942,144.9676181,54.6
512,Australian By Design,4.9,11,Speciality & Gift Shops,Please do try and find this little gem of a shop.,By dmcuk81,-37.815795,144.9646665,53.9
513,Merri Creek Labyrinth,4.1,13,Points of Interest & Landmarks,,,-37.7900779,145.0063901,53.3
514,The Great Northern Hotel,4.4,12,Bars & Clubs,,,-37.7820018,144.9734737,52.8
515,Tianjin Gardens,4.7,11,Gardens,,,-37.8101209,144.9720687,51.7
516,Southern Cross Chauffeur Drive,4.7,11,Taxis & Shuttles,"We used the Southern Cross again to get to Tullamarine from home, much better than a cab and the driver was on time w...",By Monsieur_Miyagi,-37.6934076,145.0041877,51.7
517,Sense of 5 Thai Massage,4.3,12,Spas,,,-37.8112828,144.9675678,51.6
518,Balloon Sunrise,4.3,12,Balloon Rides,,,35.6369465,139.7190408,51.6
519,Duckboard Place,3,17,Scenic Walking Areas,,,-37.8155369,144.9713787,51
520,The Australian Natural Soap,3.6,14,Speciality & Gift Shops,,,-37.8323006,144.9566043,50.4
521,d’Luxe Classic Car Tours,5,10,City Tours • Historical & Heritage Tours,,,-37.7725859,144.9624253,50
522,The Grid Melbourne,5,10,Game & Entertainment Centres,,,-37.821495,144.9288171,50
523,City Library,4.5,11,Libraries,It's run by the City of Melbourne; it's located in Flinders Lane.,By 619jeffry,-37.8168425,144.9658808,49.5
524,The Bull and Bear Tavern,4.1,12,Bars & Clubs,,,-37.8178272,144.9630317,49.2
525,Virtual Reality Escape Rooms - Entermission Melbourne,4.9,10,Escape Games,,,-37.8125241,144.9684049,49
526,Eight Hour Day Monument,4.4,11,Monuments & Statues,,,-37.8071525,144.9655773,48.4
527,Lemongrass Thai Massage,4.4,11,Spas,,,-37.8330578,144.9705401,48.4
528,Australian Shakespeare Company,3.7,13,Theatres,,,-37.8150386,144.967359,48.1
529,Unique Carriage Hire,1,48,City Tours • Sightseeing Tours,,,-37.8179122,144.9679811,48
530,Bobby McGee's Entertainment Lounge,4,12,Bars & Clubs,,,-37.811248,144.970421,48
531,Melbourne Observatory,4.3,11,Observatories & Planetariums,,,-37.8295568,144.9753648,47.3
532,Batman Park,4.3,11,Parks,,,-37.8217763,144.9564845,47.3
533,Advance Car Rental,4.7,10,Self-Guided Tours & Rentals,,,-37.8036739,144.9571183,47
534,Tasma Terrace Gift Shop and Gallery,4.2,11,Historic Sites • Historic Walking Areas,,,-37.811643,144.975644,46.2
535,Alternate Road,4.2,11,Sightseeing Tours • Private Tours,,,-37.810914,144.9641325,46.2
536,Hillsong Church,4.6,10,Churches & Cathedrals,,,-37.814868,144.9672932,46
537,Garden World,4.5,10,Gardens,"... place was AMAZING !! I absolutely loved it  the plants the gold fish and the cactus room , the bonsai room and...",By soffhudd,-38.0028085,145.1414285,45
538,Ron Barassi Snr Park,4.5,10,Parks,,,-37.816525,144.9345345,45
539,Malthouse Theatre,4.5,10,Theatres,,,-37.8269701,144.9664968,45
540,Run for the Kids,5,9,Sporting Events,,,-37.8708372,145.0603947,45
541,Great Southern Escapes,3.7,12,Multi-day Tours • Eco Tours,,,-37.8197222,144.955,44.4
542,Blender Studios,4.9,9,Art Galleries,,,-37.8099147,144.9513685,44.1
543,Melbourne Bar Crawl,4.9,9,"Bar, Club & Pub Tours • Night Tours",,,-37.816116,144.960926,44.1
544,Argyle Square,4,11,Scenic Walking Areas,,,-37.8026519,144.9656579,44
545,Melbourne Festival,4.3,10,Cultural Events,,,-37.8121805,144.9619108,43
546,The Mitre Tavern,4.3,10,Bars & Clubs,,,-37.8167493,144.9604,43
547,Australian Sightseeing Day Tours,4.3,10,Sightseeing Tours,,,-37.8170124,144.970065,43
548,4D Dynamic Cinema,4.3,10,Cinemas,,,-37.8133254,144.9686681,43
549,Village Melbourne,3.3,13,Bars & Clubs,,,-37.8089585,144.9591667,42.9
550,Captain Matthew Flinders Statue,4.7,9,Points of Interest & Landmarks • Monuments & Statues,It is on the Swanston St side of St Paul's Anglican cathedral.,By 619jeffry,-37.8169304,144.9674113,42.3
551,Portable Iron Houses,4.2,10,Points of Interest & Landmarks,,,-37.8340349,144.9532788,42
552,Port Phillip Arcade,4.2,10,Speciality & Gift Shops,,,-37.8415446,144.9388056,42
553,The Exchange Hotel,4.2,10,Bars & Clubs,,,-37.8419781,144.9388328,42
554,Victorian Artists' Society,4.6,9,Art Museums,Talking famous people though Dame Nellie Melba also taught aspiring singers the principles of her celebrated vocal...,By Crystalline4u,-37.8094472,144.9762887,41.4
555,The Wheeler Centre,4.6,9,Points of Interest & Landmarks,,,-37.810162,144.9653789,41.4
556,Testing Grounds,4.6,9,Theatres,,,-37.821347,144.967621,41.4
557,Galleria Shopping Plaza,4.1,10,Shopping Malls,,,-37.8148528,144.96291,41
558,Melbourne Water Taxis,4,10,Ferries • Boat Hire,Much more memorable too cruise the Yarra River,By ET3121,-37.8199185,144.965806,40
559,Sustainable Living Festival,5,8,Music Festivals,,,-37.8133269,144.967082,40
560,Ride International Tours,5,8,Multi-day Tours • Sports Camps & Clinics,We joined Grace and Pat for their Old Willunga Hill one day tour during the Tour Down Under.,By J_Feros,-37.762051,144.961452,40
561,Australian Private Tours,5,8,Multi-day Tours • Taxis & Shuttles,,,-37.850163,144.993873,40
562,One Fine Secret,5,8,Speciality & Gift Shops,"Earlier this year, I was trying to find an Australian stockist of Earthwise Beauty products and found this gem of a s...",By 447fayet,-37.8151088,144.9618442,40
563,Fashion by Foot,5,8,Cultural Tours • Fashion Shows & Tours,,,-37.7972634,144.9702654,40
564,The White Room Interiors,5,8,Shopping Tours,,,-37.720085,144.941186,40
565,Royal Historical Society of Victoria,4.4,9,History Museums,,,-37.8105838,144.9565959,39.6
566,Evelyn Hotel,4.4,9,Bars & Clubs,,,-37.7965907,144.9786152,39.6
567,Police Memorial,4.8,8,Points of Interest & Landmarks • Monuments & Statues,,,-37.8242633,144.9709913,38.4
568,Remembrance Day,4.8,8,Cultural Events,,,-37.8305164,144.9734319,38.4
569,Paperback Bookshop,4.7,8,Speciality & Gift Shops,,,-37.811586,144.971261,37.6
570,Greensborough Plaza,4.1,9,Shopping Malls,,,-37.7026269,145.1031319,36.9
571,Evan Walker Bridge,4.6,8,Bridges,Evan Walker was an architect who had a vision for Southbank.,By 619jeffry,-37.819605,144.9651575,36.8
572,City Hatters,4.6,8,Speciality & Gift Shops,City Hatters was established in 1910 - it is near Swanston Street Station.,By 751stephenj,-37.8177396,144.967044,36.8
573,Melbourne Athenaeum Library,4.5,8,Libraries,It was established as Melbourne's first mechanics institute.,By petermY2777LY,-37.8150911,144.9673676,36
574,The City Gallery,4,9,Art Galleries,Sharing  the history of the city of Melbourne,By 619jeffry,-37.8146619,144.9664256,36
575,Boat 4 Hire,3.6,10,Boat Hire,,,-37.815508,144.9398101,36
576,Rialto Building,4.4,8,Architectural Buildings,,,-37.8191282,144.9575977,35.2
577,Lincoln Square,3.5,10,Parks • Playgrounds,,,-37.8031741,144.9627543,35
578,Amphlett Lane,5,7,Points of Interest & Landmarks,,,-37.810666,144.9718263,35
579,Aussizz Travels Day Tours,1,35,Nature & Wildlife Tours,,,-37.8157979,144.9644963,35
580,Photoh Photography Course,5,7,Lessons & Workshops,,,-37.817098,144.959749,35
581,Chillax Tours Australia,5,7,Helicopter Tours • Balloon Rides,,,-37.7960874,144.9926326,35
582,Triplush Tours,4.3,8,Food Tours • Wine Tours & Tastings ,,,-37.8170124,144.970065,34.4
583,Westgate Golf Course,4.3,8,Golf Courses,,,-37.8267212,144.886261,34.4
584,Patient Wolf Distilling Co.,4.9,7,Distillery Tours • Cooking Classes,,,-37.8290431,144.9604355,34.3
585,Kayak Adventures,4.9,7,Kayaking & Canoeing,,,-37.8115669,144.9650251,34.3
586,Trinity College Chapel,4.8,7,Points of Interest & Landmarks • Churches & Cathedrals,,,-37.7954305,144.9589035,33.6
587,Hiking Habit,4.8,7,Eco Tours • Sightseeing Tours,,,-37.8137305,144.9615675,33.6
588,Strike Escape Rooms Melbourne Central,4.2,8,Escape Games,Even fun for the kids.,By Geridog1,-37.8103909,144.9630428,33.6
589,City Hire Cars,3,11,City Tours • Taxis & Shuttles,Andrew the driver was friendly and professional and the minibus was very luxurious.,By 233nadeneb,-37.8074065,144.9623494,33
590,St Patrick’s Cathedral Fountain,4.7,7,Fountains,,,-37.8100833,144.9764167,32.9
591,Duldig Studio,4.7,7,Speciality Museums • Art Museums,,,-37.8689982,145.0497287,32.9
592,Pioneer Women's Memorial Garden,4.7,7,Gardens,,,-37.825103,144.976109,32.9
593,Melbourne Music Week,4.7,7,Music Festivals,,,-37.8165405,144.9693851,32.9
594,Race Party,4.7,7,Game & Entertainment Centres,,,-37.8277555,145.0527886,32.9
595,Extragreen Holidays,3.6,9,Multi-day Tours • Bus Services,,,-37.818338,145.122072,32.4
596,"Victoria Barracks, Melbourne",4.6,7,Historic Sites • Architectural Buildings,,,-37.8272222,144.9705556,32.2
597,Skinners Adventure Playground,4.6,7,Playgrounds,,,-37.8330128,144.9621889,32.2
598,CrossCulture Church,4.6,7,Churches & Cathedrals,,,-37.8104608,144.9639803,32.2
599,Double Happiness,4.6,7,Bars & Clubs,,,-37.8111831,144.9712723,32.2
600,Mind Games,4.6,7,Speciality & Gift Shops,,,-37.814343,144.96573,32.2
601,JFK Memorial,4.5,7,Monuments & Statues,,,-37.8138454,144.9764158,31.5
602,Pen Pen Wellness,4.5,7,Spas,... foot pain and this was the first time I’d tried Thai massage - wow! My feet felt amazing upon waking the followin...,By citywoolf,-37.8155858,144.9530603,31.5
603,Melbourne Architours,4.5,7,Walking Tours,,,-37.8117112,144.9756361,31.5
604,County Court of Victoria (Melbourne Law Courts),3.9,8,Points of Interest & Landmarks • Architectural Buildings,,,-37.8129806,144.9576568,31.2
605,Trades Hall,3.9,8,Historic Sites • Architectural Buildings,,,-37.8064806,144.9663778,31.2
606,Piazza Italia,3.9,8,Points of Interest & Landmarks • Parks,,,-37.8025106,144.9661291,31.2
607,Margaret Court Arena,4.4,7,Arenas & Stadiums,Went with my family to a concert and we couldn’t get in anywhere before for dinner as we didn’t want concert food as...,By 475charmainek,-37.8211276,144.9776364,30.8
608,Virgin Australia Melbourne Fashion Festival,4.3,7,Exhibitions,,,-37.8121805,144.9619108,30.1
609,Darathai Spa and Massage,4.3,7,Spas,,,-37.8046918,144.9657414,30.1
610,Country Road,4.3,7,Speciality & Gift Shops,,,-37.810571,144.9629833,30.1
611,Midsumma Festival,5,6,Cultural Events,,,-37.8231192,144.9668993,30
612,The Hellenic Odyssey Cooking Classes and Food Tours,5,6,Cooking Classes • Food Tours,Thank you Kelly and The Hellenic Odyssey for showcasing the best of the best Oakleigh has to offer.,By 838zenm,-37.9392372,145.0558623,30
613,Sausages Made Simple,3.7,8,Lessons & Workshops,"... activities with other participants, but it all is great fun to work with others that also love making cured meats!",By 249alyshas,-37.806121,144.942185,29.6
